timestep,bus,voltage_pu,angle_deg,P_MW,Q_MVar,measurement_type
14,1,1.020782025524747,50.02119844255426,0.0,0.0,full
14,2,1.020782025524747,50.02119844255426,0.0,0.0,full
14,3,1.0252750899564007,-98.63336785522145,0.0,0.0,full
14,4,1.0252750899564007,-98.63336785522145,0.0,0.0,full
14,5,1.03,-98.52249897404955,0.0,0.0,full
14,6,1.0237265745528787,-98.60729622286644,4.693462887732383,1.5426666494445216,full
15,0,1.02,50.0,0.0,0.0,full
15,1,1.0207635326920734,50.0184793774664,0.0,0.0,full
15,2,1.0207635326920734,50.0184793774664,0.0,0.0,full
15,3,1.0252045767801337,-98.74385400447947,0.0,0.0,full
15,4,1.0252045767801337,-98.74385400447947,0.0,0.0,full
15,5,1.03,-98.63726129515152,0.0,0.0,full
15,6,1.0232580292218156,-98.72782078237387,5.3761954985304765,1.767070006701122,full
16,0,1.02,50.0,0.0,0.0,full
16,1,1.0207878666293249,50.02206087072883,0.0,0.0,full
16,2,1.0207878666293249,50.02206087072883,0.0,0.0,full
16,3,1.0252973475555782,-98.59834361378344,0.0,0.0,full
16,4,1.0252973475555782,-98.59834361378344,0.0,0.0,full
16,5,1.03,-98.48612514601693,0.0,0.0,full
16,6,1.0238749985984763,-98.56909015789903,4.476911098256181,1.4714895182956547,full
17,0,1.02,50.0,0.0,0.0,full
17,1,1.020825743101787,50.027695884992646,0.0,0.0,full
17,2,1.020825743101787,50.027695884992646,0.0,0.0,full
17,3,1.0254415038365445,-98.36972865541016,0.0,0.0,full
17,4,1.0254415038365445,-98.36972865541016,0.0,0.0,full
17,5,1.0300000000000002,-98.24877154374911,0.0,0.0,full
17,6,1.0248425596741269,-98.31971076964665,3.061941387411819,1.0064114650315807,full
18,0,1.02,50.0,0.0,0.0,full
18,1,1.020818651225718,50.02663511897933,0.0,0.0,full
18,2,1.020818651225718,50.02663511897933,0.0,0.0,full
18,3,1.0254145354404853,-98.4127341087579,0.0,0.0,full
18,4,1.0254145354404853,-98.4127341087579,0.0,0.0,full
18,5,1.0300000000000002,-98.29341150395538,0.0,0.0,full
18,6,1.024660715162348,-98.36662169358223,3.3283085680961917,1.0939621234638404,full
19,0,1.02,50.0,0.0,0.0,full
19,1,1.0208105573214188,50.025427696538415,0.0,0.0,full
19,2,1.0208105573214188,50.025427696538415,0.0,0.0,full
19,3,1.0253837435838327,-98.46170232440961,0.0,0.0,full
19,4,1.0253837435838327,-98.46170232440961,0.0,0.0,full
19,5,1.03,-98.3442461266381,0.0,0.0,full
19,6,1.024453563654021,-98.42003721330128,3.631499362283192,1.1936161183496634,full
20,0,1.02,50.0,0.0,0.0,full
20,1,1.0207773699674692,50.02051229775617,0.0,0.0,full
20,2,1.0207773699674692,50.02051229775617,0.0,0.0,full
20,3,1.025257344882159,-98.66123973159998,0.0,0.0,full
20,4,1.025257344882159,-98.66123973159998,0.0,0.0,full
20,5,1.03,-98.55144688736318,0.0,0.0,full
20,6,1.0236084241670356,-98.6377002826615,4.865749404291287,1.5992944889740683,full
21,0,1.02,50.0,0.0,0.0,full
21,1,1.0207665635971896,50.01892384568689,0.0,0.0,full
21,2,1.0207665635971896,50.01892384568689,0.0,0.0,full
21,3,1.0252161383843892,-98.7257871177649,0.0,0.0,full
21,4,1.0252161383843892,-98.7257871177649,0.0,0.0,full
21,5,1.0299999999999998,-98.61849320724409,0.0,0.0,full
21,6,1.0233346810364439,-98.70811227880554,5.264594853910627,1.7303886486868627,full
22,0,1.02,50.0,0.0,0.0,full
22,1,1.0207487559525747,50.01631897630371,0.0,0.0,full
22,2,1.0207487559525747,50.01631897630371,0.0,0.0,full
22,3,1.02514818336937,-98.83170659662116,0.0,0.0,full
22,4,1.02514818336937,-98.83170659662116,0.0,0.0,full
22,5,1.0299999999999994,-98.72853445860748,0.0,0.0,full
22,6,1.0228851081820847,-98.82365660428442,5.918638884680092,1.945362525687901,full
23,0,1.02,50.0,0.0,0.0,full
23,1,1.0207949291904106,50.02310596855507,0.0,0.0,full
23,2,1.0207949291904106,50.02310596855507,0.0,0.0,full
23,3,1.0253242501241286,-98.55591350373803,0.0,0.0,full
23,4,1.0253242501241286,-98.55591350373803,0.0,0.0,full
23,5,1.03,-98.44206392651672,0.0,0.0,full
23,6,1.0240547387540213,-98.52280566585472,4.214489358245715,1.3852356635008343,full
0,0,,50.0,,,sparse_noisy
0,1,,50.03048941180881,,,sparse_noisy
0,2,,50.03048941180881,,,sparse_noisy
0,3,1.0206407592493896,-98.25654044970659,0.0,0.0,sparse_noisy
0,4,,-98.25654044970659,,,sparse_noisy
0,5,1.0362845013763409,-98.13130210140989,0.0,0.0,sparse_noisy
0,6,1.0283650026751758,-98.19624488889062,2.350677772946703,0.7829004586901654,sparse_noisy
1,0,,50.0,,,sparse_noisy
1,1,,50.027277609603274,,,sparse_noisy
1,2,,50.027277609603274,,,sparse_noisy
1,3,1.0113405466009506,-98.38668465951562,0.0,0.0,sparse_noisy
1,4,,-98.38668465951562,,,sparse_noisy
